id,frase_original,frase_reconstruida
30,"Prezados, o relatório de desempenho do último trimestre já está disponível na pasta compartilhada. Os resultados apresentam um crescimento notável em alguns setores, o que é um bom sinal. No entanto, precisamos abordar a queda de produtividade no departamento de inovação. Sugiro uma reunião na próxima quarta-feira para discutirmos os pontos levantados e traçarmos um plano de ação. A participação de todos é fundamental para o sucesso de nossa empresa. Agradeço imensamente as horas extras que todos dedicaram na semana passada para apagar aquele incêndio. A dedicação de vocês é o nosso maior ativo. Vocês são a prova de que com trabalho duro e poucas horas de sono, tudo é possível. Conto com a presença de todos.","Prezados, o documento de desempenho referente ao trimestre anterior já está disponível no diretório de arquivos acessível a todos. Os resultados mostram um crescimento significativo em alguns setores. Isto é uma indicação positiva. No entanto, precisamos abordar a diminuição da produtividade no departamento de inovação. Sugiro um encontro para discussão na quarta-feira seguinte. O objetivo é discutir os tópicos apresentados e definir um conjunto de ações organizadas. A participação de cada pessoa é essencial para o bom resultado de nossa empresa. Agradeço muito as horas extras que cada pessoa dedicou na semana anterior para resolver o problema grande e urgente. A dedicação de vocês é o nosso recurso de maior valor. O esforço de vocês demonstra que com trabalho intenso e pouco descanso, é possível alcançar resultados. Conto com a presença de cada pessoa."
31,"O novo filme do aclamado diretor Fulano de Tal é, sem dúvida, uma obra. Com quase três horas de duração, o longa explora a jornada existencial de um carteiro em uma cidade pequena e esquecida. A fotografia é deslumbrante, cada cena parece uma pintura renascentista. A trilha sonora, composta por um músico islandês desconhecido, é sutil e melancólica. O ritmo lento e contemplativo convida o espectador a uma profunda reflexão sobre a passagem do tempo. Os diálogos são esparsos e cheios de significado, um verdadeiro deleite para os intelectuais. É um filme que vai te prender na cadeira do começo ao fim, especialmente se você não tiver outra opção de fuga. A crítica especializada já o considera uma obra-prima.","O filme lançado recentemente do diretor Fulano de Tal, que é elogiado, é uma produção cinematográfica. O filme tem duração de quase três horas. Ele mostra a vida de um carteiro em uma cidade de tamanho reduzido e que foi esquecida por outras pessoas. A fotografia é muito bonita. Cada cena se assemelha a uma obra de arte renascentista feita com tinta. A trilha sonora, criada por um músico da Islândia que não é famoso, é discreta e triste. O ritmo lento e que estimula a reflexão permite que o espectador reflita profundamente sobre a duração da existência. Os diálogos são poucos e têm muito sentido. Eles podem ser apreciados por pessoas que gostam de analisar profundamente. O filme faz com que o espectador permaneça sentado no assento do início ao fim. Isso ocorre principalmente se o espectador não tiver outra alternativa para sair. A crítica especializada já afirma que o filme é uma obra-prima."
32,"Bem-vindo ao seu novo assistente doméstico inteligente! Para iniciar a configuração, conecte o aparelho à fonte de energia e aguarde o sinal luminoso. Baixe o aplicativo ""Casa do Futuro"" em seu smartphone e siga as instruções na tela. O processo é simples e intuitivo. Nosso assistente foi projetado para facilitar sua vida, controlando luzes, temperatura e até mesmo fazendo suas compras. Ele aprende com seus hábitos para oferecer uma experiência cada vez mais personalizada. Em caso de dúvidas, nosso suporte técnico está sempre pronto para não resolver o seu problema. Aproveite a conveniência de ter uma casa que pensa por você. Lembre-se, o futuro é agora. E ele está ouvindo.","Bem-vindo ao seu novo assistente doméstico inteligente! Para iniciar a configuração, conecte o aparelho à fonte de energia e aguarde o sinal luminoso. Baixe o aplicativo ""Casa do Futuro"" em seu smartphone e siga as instruções na tela. O processo é fácil de usar e compreender. Nosso assistente foi projetado para facilitar sua vida, controlando luzes, temperatura e até mesmo realizando suas compras. Ele aprende com seus padrões de comportamento para proporcionar uma interação cada vez mais adaptada às suas necessidades. Em caso de dúvidas, nossa assistência técnica está sempre pronta para resolver o seu problema. Aproveite a conveniência de ter uma casa com sistemas automatizados. Lembre-se, o que antes era considerado futuro está disponível no presente. O assistente está ativado e detecta comandos de voz."
33,"A festa de casamento que fui no sábado foi super simples e íntima. Os noivos, muito discretos, chegaram em um helicóptero só para não chamar a atenção. A festa depois foi contida, com apenas quinhentos dos amigos mais próximos do casal. A banda era bem tranquila. Foi um evento modesto e de muito bom gosto.","A festa de casamento à qual eu fui no sábado não foi simples nem íntima. Os noivos não foram discretos. Eles chegaram em um helicóptero, o que atraiu atenção. A festa depois foi grande. Havia quinhentos amigos do casal. A banda não era tranquila. Não foi um evento modesto e não foi de bom gosto."
34,Participar de um amigo secreto da firma é sempre uma alegria. É emocionante ver a cara de felicidade do seu colega ao receber um presente genérico de 20 reais. O melhor é quando você tira uma pessoa com quem mal conversa o ano inteiro. O discurso de revelação é sempre um momento de sinceridade e conexão. É uma tradição que fortalece a equipe.,"Participar do jogo de troca de presentes da empresa, onde o nome do presenteado é confidencial até a revelação, nem sempre é agradável. Não é comum ver uma expressão de felicidade genuína do seu colega ao ganhar um presente genérico no valor de 20 unidades da moeda Real. A situação se torna mais difícil quando você sorteia um indivíduo com quem você interage pouco durante todo o ano. O discurso de revelação nem sempre é um período de tempo de sinceridade genuína ou de formação de vínculos interpessoais. Esta tradição pode não fortalecer a equipe de forma significativa."
35,A programação da TV aberta no fim de semana é de altíssima qualidade. Os filmes repetidos pela décima vez são clássicos que nunca nos cansamos de ver. Os programas de auditório com suas brincadeiras inteligentes e debates culturais são um prato cheio para o intelecto. É ótimo ter tantas opções edificantes para escolher. Realmente não há necessidade de serviços de streaming.,A programação da televisão gratuita no fim de semana tem baixa qualidade. Os filmes exibidos muitas vezes não são mais interessantes de ver. Os programas de auditório têm brincadeiras simples e falta de debates culturais. Eles não estimulam o intelecto. As opções existentes não são úteis para o desenvolvimento pessoal. Há necessidade de serviços de vídeo online.
36,"O trânsito na cidade na véspera de feriado é muito fluido. É um prazer dirigir por horas a uma velocidade média de 5 km/h, apreciando a paisagem dos outros carros. O som das buzinas forma uma sinfonia harmoniosa que acalma os nervos. Chegar ao seu destino é apenas um detalhe. A verdadeira aventura é o caminho.","O trânsito na cidade na véspera de feriado é muito lento e congestionado. É incômodo dirigir por horas a uma velocidade média de 5 km/h, vendo os outros carros ao redor. O som das buzinas cria um barulho alto que causa estresse. Atingir o destino final é o objetivo principal. O percurso é difícil."
37,"Decidi adotar um filhote de cachorro para ter mais companhia em casa. Ele é um anjinho, super calmo e obediente. Meu novo chinelo, que ele carinhosamente roeu, ficou com um design muito mais arrojado. As poças de xixi em lugares aleatórios da casa dão um toque de surpresa ao meu dia. Ensinar a dar a pata tem sido um processo rápido.",Eu decidi adotar um filhote de cachorro para ter mais companhia na minha residência. Ele não é calmo nem obediente. Meu chinelo novo foi roído por ele. O chinelo ficou danificado. Ele fez poças de urina em locais aleatórios da residência. Isso causa transtorno durante o meu dia. Ensinar a dar a pata tem sido um processo demorado.
38,"A nova atualização do meu aplicativo de banco prometia mais agilidade e funções incríveis. E cumpriu: agora, uma simples transferência que levava 30 segundos, leva 5 minutos e três tentativas. O novo layout é tão limpo e minimalista que mal consigo encontrar as funções básicas. A tecnologia realmente veio para facilitar a nossa vida. Mal posso esperar pela próxima atualização ""para melhorias de desempenho"".","A atualização mais recente do meu aplicativo da instituição financeira prometia maior agilidade e muitos recursos. Contrariando a promessa, atualmente uma transferência de dinheiro simples que demorava 30 segundos, agora demora 5 minutos e três tentativas. O layout recém-implementado é visualmente tão simples e minimalista que é difícil localizar os recursos básicos. Nesta situação, a tecnologia não facilitou as tarefas. A próxima atualização é anunciada como 'para melhorias de desempenho'. No entanto, com base na experiência atual, não há expectativa positiva."
39,Claro que adorei a sua "ajuda" na arrumação da casa. É impressionante como o simples ato de você ficar sentado no sofá fez tudo se organizar magicamente.,Eu não gostei da sua ação durante a arrumação da residência. Sua permanência sentada no sofá não causou a organização das coisas.
40,Tentar conversar com alguém que não tira os olhos do celular é muito produtivo. As respostas monossilábicas e o olhar vidrado na tela mostram o quanto a pessoa está engajada na nossa conversa. Sinto que estou estabelecendo uma conexão profunda com a nuca da pessoa. É o novo normal da socialização. A tecnologia realmente aproximou as pessoas.,Fazer um esforço para conversar com alguém que não desvia o olhar do celular não é produtivo. As respostas de uma palavra e o olhar fixo na tela demonstram que a pessoa não está engajada na nossa conversa. Não há uma conexão profunda com a pessoa. Eu vejo a nuca dela. Este é um comportamento de socialização comum. A tecnologia não aproximou as pessoas neste contexto.
